Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
昭和シリーズ,1954,,,,1954,,,,,ゴジラ,,,,,,
昭和シリーズ,1955,,,,1955,,,,,ゴジラの逆襲,,,,,,
昭和シリーズ,1962,,,,1962,,,,,キングギドラ対ゴジラ,,,,,,
"昭和シリーズ
",1964,,,,1964,,,,,モスラ対ゴジラ,,,,,,
昭和シリーズ,1964,,,,1964,,,,,三大怪獣　地球最大の決戦,,,,,,
昭和シリーズ,1965,,,,1965,,,,,怪獣大戦争,,,,,,
昭和シリーズ,1966,,,,1966,,,,,ゴジラ・エビラ・モスラ　南海の大決闘,,,,,,
昭和シリーズ,1967,,,,1967,,,,,怪獣島の決戦,,,,,,
昭和シリーズ,1968,,,,1968,,,,,怪獣総進撃,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
昭和シリーズ,1969,,,,1969,,,,,ゴジラ・ミニラ・ガバラ　オール怪獣第進撃,,,,,,
"昭和
シリーズ",1971,,,,1971,,,,,ゴジラ対ヘドラ,,,,,,
昭和シリーズ,1972,,,,1972,,,,,地球攻撃命令　ゴジラ対ガイガン,,,,,,
昭和シリーズ,1973,,,,1973,,,,,ゴジラ対メガロ,,,,,,
昭和シリーズ,1974,,,,1974,,,,,ゴジラ対メカゴジラ,,,,,,
昭和シリーズ,1975,,,,1975,,,,,メカゴジラの逆襲,,,,,,
"昭和シリーズ
",1984,,,,1984,,,,,ゴジラ,,,,,,
平成シリーズ,1989,,,,1989,,,,,ゴジラvsビオランテ,,,,,,
"
平成シリーズ",1991,,,,1991,,,,,ゴジラvsキングギドラ,,,,,,
平成シリーズ,1992,,,,1992,,,,,ゴジラvsモスラ,,,,,,
平成シリーズ,1993,,,,1993,,,,,ゴジラvsメカゴジラ,,,,,,
平成シリーズ,1994,,,,1994,,,,,ゴジラvsスペースゴジラ,,,,,,
平成シリーズ,　1995,,,,　1995,,,,,ゴジラvsデストロイヤ,,,,,,
ミレニアムシリーズ,1999,,,,1999,,,,,"ゴジラ　2000　ミレニアム
",,,,,,
ミレニアムシリーズ,2000,,,,2000,,,,,ゴジラ×メガギラス　G消滅作戦,,,,,,
ミレニアムシリーズ,2001,,,,2001,,,,,ゴジラ・モスラ。キングギドラ　大怪獣総攻撃,,,,,,
"ミレニアムシリーズ
",2002,,,,2002,,,,,ゴジラ×メカゴジラ,,,,,,
ミレニアムシリーズ,2003,,,,2003,,,,,ゴジラ×モスラ×メカゴジラ　東京SOS,,,,,,
ミレニアムシリーズ,2004,,,,2004,,,,,ゴジラ　FINAL　WARS,,,,,,
その他,2016,,,,2016,,,,,シン・ゴジラ,,,,,,
