Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2001,,,,2019,4,30,,,平成,,,,,,
日本の年号,2019,5,1,,now,,,,,令和,,,,,,
5Gプラン,2020,3,25,,now,,,,,5Gギガホ,,https://www.nttdocomo.co.jp/charge/5g-gigaho/?icid=CRP_common_footer_to_CRP_CHA_5g-gigaho,,,,
5Gプラン,2020,3,25,,now,,,,,5Gギガライト,,https://www.nttdocomo.co.jp/charge/5g-gigalite/?dynaviid=case0012.dynavi,,,,
5Gプラン,2020,3,25,,now,,,,,5Gデータプラス,,https://www.nttdocomo.co.jp/charge/5g-dataplus/?dynaviid=case0012.dynavi,,,,
4Gプラン,2019,10,1,,now,,,,,ギガホ2,,https://www.nttdocomo.co.jp/charge/gigaho-2/?dynaviid=case0001.dynavi,,,,
4Gプラン,2019,10,1,,now,,,,,ギガライト2,,https://www.nttdocomo.co.jp/charge/gigalite-2/?dynaviid=case0001.dynavi,,,,
4Gプラン,2019,10,1,,now,,,,,データプラス,,https://www.nttdocomo.co.jp/charge/dataplus-2/?icid=CRP_CHA_to_CRP_CHA_dataplus-2&dynaviid=case0001.dynavi,,,,
4Gプラン,2019,10,1,,now,,,,,ケータイプラン,,https://www.nttdocomo.co.jp/charge/keitaiplan-2/?dynaviid=case0001.dynavi,,,,
4Gプラン,2020,1,17,,now,,,,,キッズケータイプラン（Xi）,,https://www.nttdocomo.co.jp/charge/kidskeitaiplan-2-xi/?dynaviid=case0001.dynavi,,,,
4G基本プラン,2014,6,1,,2019,5,31,,,カケホーダイプラン,,https://www.nttdocomo.co.jp/charge/kakeho/?icid=CRP_CHA_close_to_CRP_CHA_kakeho&dynaviid=case0006.dynavi,,,,
4G基本プラン,2015,9,25,,2019,5,31,,,カケホーダイライトプラン(スマホ/タブ),,https://www.nttdocomo.co.jp/charge/kakeho_light/?dynaviid=case0006.dynavi,,,,
4G基本プラン,2017,6,1,,2019,5,31,,,シンプルプラン(スマホ),,https://www.nttdocomo.co.jp/charge/simple_plan/?dynaviid=case0006.dynavi,,,,
4G基本プラン,2016,10,21,,2019,5,31,,,カケホーダイプラン(ケータイ),,https://www.nttdocomo.co.jp/charge/kakeho_f/?dynaviid=case0006.dynavi,,,,
4G基本プラン,2015,9,25,,2019,5,31,,,カケホーダイライトプラン(ケータイ),,https://www.nttdocomo.co.jp/charge/kakeho_light_f/?dynaviid=case0006.dynavi,,,,
4G基本プラン,2017,6,1,,2019,5,31,,,シンプルプラン(ケータイ),,https://www.nttdocomo.co.jp/charge/simple_plan_f/?dynaviid=case0006.dynavi,,,,
4G基本プラン,2014,6,1,,2019,5,31,,,データプラン(スマホ/タブ),,https://www.nttdocomo.co.jp/charge/data_plan/?dynaviid=case0006.dynavi,,,,
4G基本プラン,2014,6,1,,2019,5,31,,,データプラン(ルーター),,https://www.nttdocomo.co.jp/charge/data_plan_r/?dynaviid=case0006.dynavi,,,,
4Gパケットパック,2018,5,25,,2019,5,31,,,ベーシックパック・ウルトラデータパック,,https://www.nttdocomo.co.jp/charge/datapack/?dynaviid=case0006.dynavi,,,,
4Gパケットパック,2018,5,25,,2019,5,31,,,ベーシックシェアパック・ウルトラシェアパック,,https://www.nttdocomo.co.jp/charge/sharepack/?dynaviid=case0006.dynavi,,,,
4Gパケットパック,2016,10,21,,2019,5,31,,,ケータイパック,,https://www.nttdocomo.co.jp/charge/keitaipack/?dynaviid=case0006.dynavi,,,,
4Gパケットパック,2014,6,1,,2016,9,23,,,パケットパック,,https://www.nttdocomo.co.jp/charge/packetpack/?dynaviid=case0006.dynavi,,,,
4Gパケットパック,2014,6,1,,2017,3,31,,,らくらくパック,,https://www.nttdocomo.co.jp/charge/rakurakupack/?dynaviid=case0006.dynavi,,,,
4Gその他,2016,11,1,,2019,5,31,,,キッズケータイプラス,,https://www.nttdocomo.co.jp/charge/kids_f_plus/?dynaviid=case0006.dynavi,,,,
4Gその他,2014,6,1,,2019,5,31,,,デバイスプラス,,https://www.nttdocomo.co.jp/charge/deviceplus/?dynaviid=case0006.dynavi,,,,
FOMA基本プラン,2007,11,26,,2019,9,30,,,バリュープラン,,https://www.nttdocomo.co.jp/charge/value/?dynaviid=case0007.dynavi,,,,
FOMA基本プラン,2009,12,1,,2019,9,30,,,タイプシンプルバリュー,,https://www.nttdocomo.co.jp/charge/value/mail/type_simple_value/?dynaviid=case0007.dynavi,,,,
FOMA基本プラン,2007,11,26,,2019,9,30,,,タイプリミットバリュー,,https://www.nttdocomo.co.jp/charge/value/limit/type_limit_value/?dynaviid=case0007.dynavi,,,,
FOMA基本プラン,2005,11,1,,2019,9,30,,,タイプビジネス バリュー／タイプビジネス,,https://www.nttdocomo.co.jp/biz/charge/plan/type_biz/,,,,
FOMA基本プラン,2007,11,26,,2019,9,30,,,ベーシックプラン,,https://www.nttdocomo.co.jp/charge/basic/?icid=CRP_CHA_close_txt01_to_CRP_CHA_basic&dynaviid=case0007.dynavi,,,,
FOMA基本プラン,2009,12,1,,2019,9,30,,,タイプシンプル,,https://www.nttdocomo.co.jp/charge/basic/mail/type_simple/?dynaviid=case0007.dynavi,,,,
FOMA基本プラン,2005,11,1,,2019,9,30,,,タイプリミット,,https://www.nttdocomo.co.jp/charge/basic/limit/type_limit/?dynaviid=case0007.dynavi,,,,
FOMAパケット通信プラン,2001,10,1,,2009,3,31,,,パケットパック,,https://www.nttdocomo.co.jp/charge/packet_pack/?icid=CRP_CHA_close_txt01_to_CRP_CHA_packet_pack,,,,
FOMAパケット通信プラン,2004,6,1,,2008,12,31,,,パケ・ホーダイ,,https://www.nttdocomo.co.jp/charge/pake_houdai/?icid=CRP_CHA_close_to_CRP_CHA_pake_houdai,,,,
FOMAパケット通信プラン,2008,10,1,,2019,9,30,,,パケ・ホーダイダブル,,https://www.nttdocomo.co.jp/charge/pake_hodai_w/?icid=CRP_CHA_close_to_CRP_CHA_pake_hodai_w&dynaviid=case0008.dynavi,,,,
FOMAパケット通信プラン,2011,3,15,,2014,1,31,,,パケ・ホーダイダブル２,,https://www.nttdocomo.co.jp/charge/pake_hodai_w2/?dynaviid=case0007.dynavi,,,,
FOMAパケット通信プラン,2009,12,1,,2019,9,30,,,パケ・ホーダイシンプル,,https://www.nttdocomo.co.jp/charge/pake_hodai_simple/?dynaviid=case0007.dynavi,,,,
FOMAパケット通信プラン,2011,3,16,,2019,9,30,,,パケ・ホーダイフラット,,https://www.nttdocomo.co.jp/charge/pake_hodai_f/?dynaviid=case0007.dynavi,,,,
FOMAパケット通信プラン,2007,3,1,,2008,12,31,,,パケ・ホーダイフル,,https://www.nttdocomo.co.jp/charge/pake_hodai_ful/?dynaviid=case0007.dynavi,,,,
FOMAパケット通信プラン,2012,8,1,,2019,9,30,,,らくらくパケ・ホーダイ,,https://www.nttdocomo.co.jp/charge/rakuraku_pake_hodai/?dynaviid=case0007.dynavi,,,,
FOMAパケット通信プラン,2007,4,1,,2008,12,31,,,Biz・ホーダイ,,https://www.nttdocomo.co.jp/charge/biz_hodai/?dynaviid=case0007.dynavi,,,,
FOMA旧料金プラン,2001,10,1,,2005,10,31,,,FOMAプラン,,https://www.nttdocomo.co.jp/charge/foma/,,,,
