Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
The West,2018,10,8,,,,,,,DVG revved up for car yard disruption,,https://thewest.com.au/business/automotive/dvg-revved-up-for-car-yard-disruption-ng-b88978711z,https://images.thewest.com.au/publication/B88978711Z/1538956202602_G0S1S1N37.2-1.jpg?imwidth=800&impolicy=.auto,,,
The West,2018,10,2,,,,,,,DVG owner in drive to east coast market,,https://thewest.com.au/business/automotive/dvg-owner-in-drive-to-east-coast-market-ng-b88972740z,https://images.thewest.com.au/publication/B88972740Z/1538434335535_GG81RM869.2-1.jpg?imwidth=800&impolicy=.auto,,,
Go Auto,2018,10,4,,,,,,,"IDOM expands into Melbourne
Japanese automotive group moves beyond WA and buys seven franchises in Essendon",,https://premium.goauto.com.au/idom-expands-into-melbourne/,https://premium.goauto.com.au/wp-content/uploads/2018/10/IDOM_DVG_Melbourne_feature.jpg,,,
The West,2017,11,11,,,,,,,DVG aims to step on gas after sales crash,,https://thewest.com.au/business/automotive/dvg-aims-to-step-on-gas-after-sales-crash-ng-b88656396z,https://images.thewest.com.au/publication/B88656396Z/GUU1ANEDR.4-1.jpg?imwidth=800&impolicy=.auto,,,
The West,2018,2,22,,,,,,,DVG Automotive chief and co-founder Lou Divirgilio hands over management reins to Japanese owners,,https://thewest.com.au/business/dvd-automotive-chief-and-co-founder-lou-divirgilio-hands-over-management-reins-to-japanese-owners-ng-b88755035z,https://images.thewest.com.au/publication/B88755035Z/1519365644337_GEM1G0DNS.2-1.jpg?imwidth=800&impolicy=.auto,,,
Go Auto,2018,2,28,,,,,,,"New face for DVG as founder steps back
Lou Divirgilio steps back as IDOM director, takes charge at DVG Automotive",,https://premium.goauto.com.au/new-face-dvg-founder-steps-back/,https://premium.goauto.com.au/wp-content/uploads/2018/03/Takayoshi-Udagawa_feature.jpg,,,
Go Auto,2018,6,21,,,,,,,"From tin shed to Toyota store
Australia’s newest Toyota showroom sits on a piece of corporate history",,https://premium.goauto.com.au/from-tin-shed-to-toyota-store/,https://premium.goauto.com.au/wp-content/uploads/2018/06/DVG-Maddington-Toyota-VIP-Launch_feature.jpg,,,
Go Auto,2019,3,8,,,,,,,"IDOM trims from the top
Former AHG exec leaves Japanese giant IDOM and DVG as new cars lose appeal",,https://premium.goauto.com.au/idom-trims-from-the-top/,https://premium.goauto.com.au/wp-content/uploads/2019/03/Tony_SalernoFeature.jpg,,,
Go Auto,2017,10,19,,,,,,,"DVG lures AHG man
Salerno leaves AHG’s ‘yellow box’ business and moves to WA-based rival – DVG",,https://premium.goauto.com.au/dvg-lures-ahg-man/,https://premium.goauto.com.au/wp-content/uploads/2017/10/Salerno_feature.jpg,,,
Go Auto,2018,1,25,,,,,,,"DVG plans expansion
Japanese owner IDOM seeks national acquisitions, hints at subscription ownership model",,https://premium.goauto.com.au/dvg-plans-expansion/,https://premium.goauto.com.au/wp-content/uploads/2018/01/DVG_feature.jpg,,,
Go Auto,2017,10,19,,,,,,,"Weak WA sales trim IDOM
WA’s DVG dealership group tugs at the profits of its Japanese parent",,https://premium.goauto.com.au/weak-wa-sales-trim-idom/,https://premium.goauto.com.au/wp-content/uploads/2017/10/DVG_feature.jpg,,,
Go Auto,2015,12,2,,,,,,,"Gulliver’s travels
DVG Group purchase just the beginning as Gulliver looks to eastern seaboard",,https://premium.goauto.com.au/gullivers-travels/,https://premium.goauto.com.au/wp-content/uploads/2015/12/1600x470_DVG_feature.jpg,,,
Go Auto,2018,1,18,,,,,,,"DVG opens new dealership
New showrooms for DVG as it hires former AHG executive",,https://premium.goauto.com.au/dvg-opens-new-dealership/,https://premium.goauto.com.au/wp-content/uploads/2018/01/DVG_Kia_feature.jpg,,,
Business News,2018,2,23,,,,,,,Divirgilio-steps-down-at-DVG,,https://www.businessnews.com.au/article/Divirgilio-steps-down-at-DVG,https://cdn.businessnews.com.au/articles-2018-02/Lou_Divirgilio_DVG_Automotive_30092015-0957.jpg-1440.jpg,,,
Go Auto,2018,9,20,,,,,,,"Honda endorses multi-franchising
Importer strives for profitable dealers and a balance of family and public company owners",,https://premium.goauto.com.au/honda-endorses-multi-franchising/,https://premium.goauto.com.au/wp-content/uploads/2018/09/Honda_Multi_Franchising_feature.jpg,,,
IDOM Press,2015,7,13,,,,,,,ガリバー豪州大手マルチディーラーを傘下に海外事業拡大へ,,https://221616.com/idom/news/press/20150713-16418.html,https://221616.com/gulliver/wp-content/uploads/2015/07/8eb598cbb0ab063f6179e110a589a5ed.png,,,
Business News,2018,10,2,,,,,,,DVG-owner-expands-to-east-coast,,https://www.businessnews.com.au/article/DVG-owner-expands-to-east-coast,https://cdn.businessnews.com.au/articles-2018-10/Mazda-1440.jpg,,,
M&A Online,2018,10,1,,,,,,,IDOM＜7599＞、豪自動車販売会社のAWMグループを買収,,https://maonline.jp/news/20181001g,,,,
Nikkei,2018,10,2,,,,,,,ガリバー運営IDOM、豪新車販売を買収　50億円 ,,https://www.nikkei.com/article/DGXMZO35993130S8A001C1TJ1000/,,,,
NNA,2018,1,22,,,,,,,豪新車販売を拡大、ＩＤＯＭ　３年内に最大手目指す＝羽鳥社長,,https://www.nna.jp/news/show/1714507,https://www.nna.jp/uploads/article_image/image_with_caption/2589690/20180122aus_hatori_w.gif,,,
Response,2015,7,13,,,,,,,ガリバー海外事業加速、豪州大手マルチディーラーを買収,,https://response.jp/article/2015/07/13/255576.html,https://response.jp/article/img/2015/07/13/255576/915299.html?from=tpimg,,,
M&A Times,2015,7,13,,,,,,,ガリバーインターナショナル(7599)、豪州のマルチブランドリーダーを子会社化,,https://ma-times.jp/18877.html,https://ma-times.jp/wp-content/uploads/2015/07/7599.jpg,,,
Response,2015,5,27,,,,,,,ガリバー、オセアニア2号店 チャッツウッド/シドニー店を開設,,https://response.jp/article/2015/05/27/252062.html,https://response.jp/article/img/2015/05/27/252062/892586.html?from=tpimg,,,
