Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
全体での出来事,2015,5,28,,,,,,,Splatoon発売,,,,,,
フェス,2015,6,13,,,,,,,第一回フェス,ごはんvsパン　ごはん勝利,,,,,
,2015,7,3,,,,,,,第二回フェス,赤いきつねvs緑のたぬき　赤いきつね勝利,,,,,
,2015,7,25,,,,,,,第三回フェス,レモンティーvsミルクティー　ミルクティー勝利,,,,,
,2015,8,22,,,,,,,第四回フェス,キリギリスvsアリ　キリギリス勝利,,,,,
,2015,9,12,,,,,,,第五回フェス,ボケvsツッコミ　ツッコミ勝利,,,,,
,2015,10,10,,,,,,,第六回フェス,イカvsタコ　イカ勝利,,,,,
,2015,10,31,,,,,,,第七回フェス,愛vsお金　愛勝利,,,,,
,2015,11,22,,,,,,,第八回フェス,山の幸vs海の幸　海の幸勝利,,,,,
,2015,12,26,,,,,,,第九回フェス,赤いきつねvs緑のたぬき（リターン）　緑のたぬき勝利,,,,,
,2016,1,23,,,,,,,第十回フェス,カンペキなカラダvsカンペキな頭脳　カラダ勝利,,,,,
,2016,2,20,,,,,,,第十一回フェス,ポケモン赤vs緑　緑勝利,,,,,
,2016,3,12,,,,,,,第十二回フェス,ガンガン行こうぜvsいのちだいじに　いのちだいじに勝利　（フェスパワー実装）,,,,,
,2016,4,23,,,,,,,第十三回フェス,ツナマヨvs紅シャケ　ツナマヨ勝利,,,,,
,2016,5,14,,,,,,,第十四回フェス,オシャレなパーティvsコスプレパーティ　オシャレが勝利,,,,,
,2016,6,18,,,,,,,第十五回フェス,きのこの山vsたけのこの里　たけのこ勝利,,,,,
,2016,7,22,,,,,,,ラストフェス,アオリvsホタル　ホタル勝利,,,,,
ステージ・ルール追加日,2015,6,2,,,,,,,ガチマッチ実装,ルールはエリアのみ,,,,,
,2015,6,2,,,,,,,ホッケふ頭,,,,,,
,2015,6,11,,,,,,,モズク農園,,,,,,
,2015,6,20,,,,,,,ネギトロ炭鉱,,,,,,
,2015,7,2,,,,,,,ガチヤグラ　実装,,,,,,
,2015,7,11,,,,,,,タチウオパーキング,,,,,,
