Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
民間航空の歴史,1927,,,,1985,,,,,ラブ・フィールド国際空港,,,,,,
民間航空の歴史,1927,,,,1953,,,,,ミチャム・フィールド国際空港,,,,,,
民間航空の歴史,1953,,,,1974,,,,,グレーター・サウスウエスト国際空港,,,,,,
ダラス・フォートワース国際空港,1974,,,,,,,,,ダラス・フォートワース・リージョナル空港として開港,,,,,,
ダラス・フォートワース国際空港,1985,,,,,,,,,ダラス・フォートワース国際空港に改称,,,,,,
ダラス・フォートワース国際空港,1981,,,,,,,,,ハブ空港化,,,,,,
ダラス・フォートワース国際空港,2005,,,,now,,,,,ターミナルD,,,,,,
ダラス・フォートワース国際空港,2005,,,,,,,,,スカイリンク（自動運転の空港内交通システム）完成,,,,,,
ダラス・フォートワース国際空港,1974,,,,now,,,,,ターミナルA・B・C・E,,,,,,
アメリカでの出来事,1975,,,,,,,,,航空規制緩和,,,,,,
アメリカでの出来事,2001,,,,,,,,,同時多発テロ,,,,,,
出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
出来事,1973,,,,,,,,,オイルショック,,,,,,
出来事,2007,,,,,,,,,世界金融危機,,,,,,
出来事,1903,,,,,,,,,ライト兄弟による初飛行,,,,,,
出来事,1936,,,,,,,,,ダグラスDC-3就航開始,,,,,,
出来事,1943,,,,,,,,,ロッキードコンステレーション（4発大型航空機）初飛行,,,,,,
出来事,1957,,,,,,,,,B707（ジェット旅客機）初飛行,,,,,,
出来事,1969,,,,,,,,,B747（ジャンボジェット）初飛行,,,,,,
出来事,1976,,,,,,,,,超音速航空機（コンコルド）就航開始,,,,,,
出来事,2007,,,,,,,,,A380（総2階建て巨人機）就航開始,,,,,,
出来事,2011,,,,,,,,,B787（中型ジェット機）,,,,,,
出来事,1995,,,,2005,,,,,アジア・オーストラリア・中南米でLCCの企業が相次ぐ,,,,,,
