Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
神風,1921,12,15,,1922,12,28,,1921/12/15～1922/12/28,三菱長崎造船所,,,,,,teal
神風,1921,12,15,,,,,,12/15,起工,,,,,,teal
神風,1922,9,25,,,,,,9/25,進水,,,,,,teal
神風,1922,12,28,,,,,,12/28,就役,,,,,,teal
朝風,1922,2,16,,1923,6,16,,1922/2/16～1923/6/16,三菱長崎造船所,,,,,,teal
朝風,1922,2,16,,,,,,2/16,起工,,,,,,teal
朝風,1922,12,8,,,,,,12/8,進水,,,,,,teal
朝風,1923,6,16,,,,,,6/16,就役,,,,,,teal
春風,1922,5,16,,1923,5,31,,1922/5/16～1923/5/31,舞鶴工作部,,,,,,yellow
春風,1922,5,16,,,,,,5/16,起工,,,,,,yellow
春風,1922,12,18,,,,,,12/18,進水,,,,,,yellow
春風,1923,5,31,,,,,,5/31,就役,,,,,,yellow
松風,1922,12,2,,1924,4,5,,1922/12/2～1924/4/5,舞鶴工作部,,,,,,yellow
松風,1922,12,2,,,,,,12/2,起工,,,,,,yellow
松風,1923,10,30,,,,,,10/30,進水,,,,,,yellow
松風,1924,4,5,,,,,,4/5,就役,,,,,,yellow
旗風,1923,7,3,,1924,8,30,,1923/7/3～1924/8/30,舞鶴工作部,,,,,,yellow
旗風,1923,7,3,,,,,,7/3,起工,,,,,,yellow
旗風,1924,3,15,,,,,,3/15,進水,,,,,,yellow
旗風,1924,8,30,,,,,,8/30,就役,,,,,,yellow
追風,1923,3,16,,1925,10,30,,1923/3/16～1925/10/30,浦賀船渠,,,,,,pink
追風,1923,3,16,,,,,,3/16,起工,,,,,,pink
追風,1924,11,27,,,,,,11/27,進水,,,,,,pink
追風,1925,10,30,,,,,,10/30,就役,,,,,,pink
疾風,1922,11,11,,1925,12,21,,1922/11/11～1925/12/21,石川島造船所,,,,,,purple
疾風,1922,11,11,,,,,,11/11,起工,,,,,,purple
疾風,1925,3,23,,,,,,3/23,進水,,,,,,purple
疾風,1925,12,21,,,,,,12/21,就役,,,,,,purple
朝凪,1923,3,5,,1924,12,29,,1923/3/5～1924/12/29,藤永田造船所,,,,,,orange
朝凪,1923,3,5,,,,,,3/5,起工,,,,,,orange
朝凪,1924,4,21,,,,,,4/21,進水,,,,,,orange
朝凪,1924,12,29,,,,,,12/29,就役,,,,,,orange
夕凪,1923,9,17,,1925,4,24,,1923/9/17～1925/4/24,佐世保海軍工廠,,,,,,blue
夕凪,1923,9,17,,,,,,9/17,起工,,,,,,blue
夕凪,1924,4,23,,,,,,4/23,進水,,,,,,blue
夕凪,1925,4,24,,,,,,4/24,就役,,,,,,blue
睦月,1924,5,21,,1926,3,25,,1924/5/21～1926/3/25,佐世保海軍工廠,,,,,,blue
睦月,1924,5,21,,,,,,5/21,起工,,,,,,blue
睦月,1925,7,23,,,,,,7/23,進水,,,,,,blue
睦月,1926,3,25,,,,,,3/25,就役,,,,,,blue
如月,1924,6,3,,1925,12,21,,1924/6/3～1925/12/21,舞鶴工作部,,,,,,yellow
如月,1924,6,3,,,,,,6/3,起工,,,,,,yellow
如月,1925,6,5,,,,,,6/5,進水,,,,,,yellow
如月,1925,12,21,,,,,,12/21,就役,,,,,,yellow
弥生,1924,1,11,,1926,8,28,,1924/1/11～1926/8/28,浦賀船渠,,,,,,pink
弥生,1924,1,11,,,,,,1/11,起工,,,,,,pink
弥生,1925,7,11,,,,,,7/11,進水,,,,,,pink
弥生,1926,8,28,,,,,,8/28,就役,,,,,,pink
卯月,1924,1,11,,1926,9,14,,1924/1/11～1926/9/14,石川島造船所,,,,,,purple
卯月,1924,1,11,,,,,,1/11,起工,,,,,,purple
卯月,1925,10,15,,,,,,10/15,進水,,,,,,purple
卯月,1926,9,14,,,,,,9/14,就役,,,,,,purple
皐月,1923,12,1,,1925,11,15,,1923/12/1～1925/11/15,藤永田造船所,,,,,,orange
皐月,1923,12,1,,,,,,12/1,起工,,,,,,orange
皐月,1925,3,25,,,,,,3/25,進水,,,,,,orange
皐月,1925,11,15,,,,,,11/15,就役,,,,,,orange
水無月,1925,3,24,,1927,3,22,,1925/3/24～1927/3/22,浦賀船渠,,,,,,pink
水無月,1925,3,24,,,,,,3/24,起工,,,,,,pink
水無月,1926,5,25,,,,,,5/25,進水,,,,,,pink
水無月,1927,3,22,,,,,,3/22,就役,,,,,,pink
文月,1924,10,20,,1926,7,3,,1924/10/20～1926/7/3,藤永田造船所,,,,,,orange
文月,1924,10,20,,,,,,10/20,起工,,,,,,orange
文月,1926,2,16,,,,,,2/16,進水,,,,,,orange
文月,1926,7,3,,,,,,7/3,就役,,,,,,orange
長月,1925,4,16,,1927,4,30,,1925/4/16～1927/4/30,石川島造船所,,,,,,purple
長月,1925,4,16,,,,,,4/16,起工,,,,,,purple
長月,1926,10,6,,,,,,10/6,進水,,,,,,purple
長月,1927,4,30,,,,,,4/30,就役,,,,,,purple
菊月,1925,6,15,,1926,11,20,,1925/6/15～1926/11/20,舞鶴工作部,,,,,,yellow
菊月,1925,6,15,,,,,,6/15,起工,,,,,,yellow
菊月,1926,5,15,,,,,,5/15,進水,,,,,,yellow
菊月,1926,11,20,,,,,,11/20,就役,,,,,,yellow
三日月,1925,8,21,,1927,5,5,,1925/8/21～1927/5/5,佐世保海軍工廠,,,,,,blue
