Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
10,2020,,,,,,,,,新型コロナウイルスが世界で大流行,大学での授業がオンライン授業になり、大量の課題に追われることに。だが、オンライン授業にもいろいろな受け方があってそれなりに楽しい。,,,,,
09,2020,,,,,,,,,新型コロナウイルスが大流行する,授業が全部オンラインになる。自分の携帯にたくさんの課題が送られてきて、いつも遊んでる時間がなぜかそわそわして焦ってしまう。初めて顔を合わせる同級生と画面越しに一緒に授業を受けてるのが不思議。,,,,,
08,2020,,,,,,,,,新型コロナウイルスが世界的に大流行,コロナウイルスの影響で外出自粛が続き、授業もオンラインで受けるという以前まで考えもしない事態に陥った。zoomなどを利用し、友人たちとオンラインでDVD観賞会を行った。外出せずとも楽しめる方法を発見できた。,,,,,
07,2020,,,,,,,,,switch lightを手に入れる,ゲームに全く興味がなかった私が、ついにswitchを買ってしまう。「あつまれどうぶつの森」というソフトが大流行し、コロナウイルスで外に出られないときに、のびのび暮らすことが出来るゲームに夢中になり楽しかった。ほしいどうぶつを手にれるために、高額でそのどうぶつが手に入れることが出来るカードが転売され「人身売買」だと話題になった。,,,,,
06,2020,,,,,,,,,新型コロナウイルスが流行する,大学の前期の授業が全てオンライン授業になった。ZoomやSlackなどのアプリを使ったやり取りや、ウェブ上で行われる授業配信など全てが初めてのことばかりで不安が膨らむ。しかし、自宅でも授業に参加出来ることから便利な世の中になったことを実感した。,,,,,
05,2020,,,,,,,,,新型コロナウイルスで様々な場所で影響,大学の課題に取り組んだり、高校生の時からの友達とLINEでお話したり、グループ電話をした。離れていても、課題を提出したり、誰かと話したりすることができるから、改めてインターネットやSNSってすごいなと思った。,,,,,
03,2020,,,,,,,,,新型コロナウイルスの流行,コロナウイルスの流行の影響で「3密」が避けられたため、zoomやskypeを利用した在宅業務や授業が行われる。「ステイホーム」と言われた家での時間が増えると同時にインターネットの需要が高まる時期となった。,,,,,
02,2020,,,,,,,,,新型コロナウィルス感染拡大のため緊急事態宣言が行われた,この期間は外出を控え、人に直接会うことが少なくなった。この外出自粛期間中は、ZoomやSlackで授業を受け、Nintendo Switch用ゲームソフト『あつまれどうぶつの森』で友達と通信して遊んだり、オンラインで人との繋がりを保つことができた。,,,,,
01,2020,,,,,,,,,新型コロナウイルスが流行る,新型コロナウイルスが世界中で流行る。そのため、大学を中心に高校や中学校でも自宅で学習できるようにオンライン授業を開始する。国としてもオンライン授業に必要なＷｉ－Ｆｉを無料で提供するサービスを行ったり、補助金をだした。,,,,,
10,2019,,,,,,,,,ストレスはまだフリーにならないワイヤレスイヤホン,通学用にと買ってもらったワイヤレスイヤホン。線がないためストレスがなくなったと思いきや突然片耳から音が消えたり、音ゲーをしようにも音がワンテンポずれてしまう。これから発売される未来のイヤホンに期待しよう。,,,,,
05,2019,,,,,,,,,Instagramのアカウントを作成,Instagramに載せるような映える写真を普段撮影しないし、あえて流行に逆らってアカウントを作っていなかった。しかし、好きなアーテストが日本初個展の会場で初のインスタライブをするということで、視聴するためにアカウントを作成した。,,,,,
03,2019,,,,,,,,,Nintendo switch lite　発売,既存のNintendo　switch　の携帯型の発売。これにより持ち運びがしやすくなった。また同年発売された「ポケットモンスター　剣/盾」が大ヒットする。,,,,,
02,2019,,,,,,,,,Nintendo Switch用ゲームソフト『ポケットモンスター ソード・シールド』が発売,私はこの時をずっと待っていた。友達とはもちろん、オンライン上で知らない人とも交換やバトル、新要素の「マックスレイドバトル」などで一緒に遊ぶことができた。Switchになってグラフィックや音楽が非常に奇麗になり、技術の進歩が感じられた。,,,,,
01,2019,,,,,,,,,コード決済増える,ＰａｙＰａｙなど現金ではなくコード決済が若者だけではなく、幅広い世代に受け入れられ、スマホで支払う人が増えた。,,,,,
09,2018,,,,,,,,,「おっさんずらぶ」が新語・流行語大賞に選ばれる,めちゃくちゃ面白い。女子大でよく性について学ぶけど、これで同性愛についての偏見が減るといいなあと思った。久しぶりに、映画も見たいと思えた作品だった。私も恋愛したいなあ、いいなあ…,,,,,
04,2018,,,,,,,,,Tiktokが登場,今、小学生もスマホを持つこ世代、和達たちの周りにはtiktokと言う新たなアプリが誕生した。Tiktokは誰でも動画を投稿でき、そして、誰でも動画にコメントを書くことが出来る。したがって、まだ、言葉に重みがあることをわかっていない小学生などの誹謗中傷なコメントも見られる。私が小学生の頃、スマホを持っている者も少なかったし、SNSで知らない人と絡むこともなかった。,,,,,
01,2018,,,,,,,,,インスタグラムで投稿する人増える,インスタグラムを見るだけではなく、初めて投稿した。この頃にはインスタ映えを狙って写真を投稿したり、インスタ映え巡りといってカフェに行ったりした。,,,,,
10,2017,,,,,,,,,Nintendo Switch発売,家でも使え、外出しても携帯して使える素晴らしいゲーム機。今現在（2020）では「あつまれ どうぶつの森」が大変人気でNintendo Switch自体が品切れとなるほど。今思えば、発売されたときに買っておけばよかったとずっと後悔している（まだ手元にない勢）。,,,,,
08,2017,,,,,,,,,Nintendo Switchが発売される,突然両親が購入してきた。とりあえず「スプラトゥーン２」をプレイ。途中からオンラインでのプレイが有料になったため、ほとんどプレイしなくなった。,,,,,
05,2017,,,,,,,,,ガラケーからスマートフォンになる,約4年間使っていたガラケーからスマートフォンデビュー。ガラケーと比べて画面が大きくて画質がキレイ。LINEが主流になり始めていたのに、まだメールでやり取りしていたので、LINEで連絡を取れるようになって嬉しかった。,,,,,
03,2017,,,,,,,,,「インスタ映え」が流行語大賞に,インスタグラムに創意工夫がされた写真を投稿することで「インスタ映え」を目的とする投稿が増えた。そのため「インスタ映えスポット」を訪れる人も増え、集客方法に新たな一手が増えたのではないだろうか。,,,,,
02,2017,,,,,,,,,任天堂の家庭用ゲーム機「Nintendo Switch」が発売,発売当初から人気で近くのお店では品切ればかりだった。しかし、ふと寄ってみたお店に1つだけ置いてあるのを見つけ、即購入した。最初に遊んだゲームは「スプラトゥーン」で、毎日何時間も遊ぶくらいはまっていた。,,,,,
01,2017,,,,,,,,,インスタグラムを始める,インスタを始めた。まだ投稿もせずただ芸能人や友達の投稿を楽しんだ。ツイッターを今まではしていたが、それとは違って長文が一回で書けるし、写真をメインにしているアプリだったので気軽に楽しめた。,,,,,
10,2016,,,,,,,,,スマホでかわいく盛れちゃうSNOW,なんとスマホで自分たちをかわいく盛れてしまう無料アプリ「SNOW」が登場。たくさん種類があり、かわいいものから面白いものまであるので楽しくて飽きない。どこでもいつでも取れるため便利だ。,,,,,
08,2016,,,,,,,,,ポケモンGOの配信がスタートする,配信開始日の夜外出すると、スマホを手に多くの人が歩き回っていた。友人たちが「こっちにあのポケモンおったで！」とはしゃぐ様子を見て、本当にこの世界にポケモンがいるような会話にわくわくしたが、全員画面に吸い込まれるようにプレイしており、少し不気味だった。あの時必死にポケモントレーナーをしていた友人は現在、無人島でどうぶつたちと優雅に暮らしている。,,,,,
08,2016,,,,,,,,,Skypeで友人と通話を楽しむ,LINEで通話すると何故か友人の回線落ちがひどいので、Skypeで通話を始めるようになった。Skypeの方が音質も良く、他のアプリを開いても途切れることが少なかったため、利用しやすかった。ただ頻繁に勝手にログアウトしてしまう現象が続き、アカウントをいくつも作ることになった。,,,,,
05,2016,,,,,,,,,Twitterを始める,携帯ショップでもらったタブレットで、興味があったTwitterのアカウントを作成。しかし様々な機能があり分からないことが多くて、友達にいろいろ聞いていた。,,,,,
04,2016,,,,,,,,,ストーリー機能,インスタグラムにはストーリーという機能がある。ストーリーは24時間で消えてしまう投稿だ。今、私達の周りでは写真の投稿よりもストーリーの投稿をしている人の方が多い。このストーリーはメリットもあるがデメリットもある。今私達はメリットよりもデメリットの方がある気がする。,,,,,
01,2016,,,,,,,,,ツイッターを始める,ツイッターを始めた。これは、思ったことを気軽につぶやけるので、たくさんの人とお話したり、面白い話が回ってきて楽しかった。だが一方でなりすましが現れたり、誹謗中傷をする人がいて問題になっていた。,,,,,
09,2015,,,,,,,,,「爆買い」が新語・流行語大賞に選ばれる,都会の電気屋さんで、びっくりするぐらいの電子レンジなどを抱える中国人を見た。日本製のものってそんなに質がいいのだろうか。日本人として誇らしく思える。でも転売はよくない！,,,,,
03,2015,,,,,,,,,Apple　Watchの発売,"腕時計型の端末の発売により社会は大きく驚いた。
時計としての役割だけでなく、健康管理などの様々な機能も搭載されていた。",,,,,
