Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
アントニオ猪木,1987,6,12,,1988,5,8,,,初代,,,,,,
藤波辰巳,1988,5,8,,1988,6,24,,,第2代,,,,,,
藤波辰巳,1988,6,24,,1989,4,24,,,第3代,,,,,,
ビッグバン・ベイダー,1989,4,24,,1989,5,25,,,第4代,,,,,,
サルマン・ハシミコフ,1989,5,25,,1989,7,12,,,第5代,,,,,,
長州力,1989,7,12,,1989,8,10,,,第6代,,,,,,
ビッグバン・ベイダー,1989,8,10,,1990,8,19,,,第7代,,,,,,
長州力,1990,8,19,,1990,11,26,,,第8代,,,,,,
藤波辰爾,1990,11,26,,1991,1,17,,,第9代,,,,,,
ビッグバン・ベイダー,1991,1,17,,1991,3,4,,,第10代,,,,,,
藤波辰爾,1991,3,4,,1992,1,4,,,第11代,,,,,,
長州力,1992,1,4,,1992,8,16,,,第12代,,,,,,
グレート・ムタ,1992,8,16,,1993,9,20,,,第13代,,,,,,
橋本真也,1993,9,20,,1994,4,4,,,第14代,,,,,,
藤波辰爾,1994,4,4,,1995,5,1,,,第15代,,,,,,
橋本真也,1995,5,1,,1995,5,3,,,第16代,,,,,,
武藤敬司,1995,5,3,,1996,1,4,,,第17代,,,,,,
高田延彦,1996,1,4,,1996,4,29,,,第18代,,,,,,
橋本真也,1996,4,29,,1997,8,31,,,第19代,,,,,,
佐々木健介,1997,8,31,,1998,4,4,,,第20代,,,,,,
藤波辰爾,1998,4,4,,1998,8,8,,,第21代,,,,,,
蝶野正洋,1998,8,8,,1998,9,23,,,第22代,,,,,,
スコット・ノートン,1998,9,23,,1999,1,4,,,第23代,,,,,,
武藤敬司,1999,1,4,,1999,12,10,,,第24代,,,,,,
天龍源一郎,1999,12,10,,2000,1,4,,,第25代,,,,,,
佐々木健介,2000,1,4,,2000,10,9,,,第26代,,,,,,
佐々木健介,2001,1,4,,2001,3,17,,,第27代,,,,,,
スコット・ノートン,2001,3,17,,2001,4,9,,,第28代,,,,,,
藤田和之,2001,4,9,,2002,2,16,,,第29代,,,,,,
安田忠夫,2002,2,16,,2002,4,5,,,第30代,,,,,,
永田裕志,2002,4,5,,2003,5,2,,,第31代,,,,,,
高山善廣,2003,5,2,,2003,11,3,,,第32代,,,,,,
天山広吉,2003,11,3,,2003,12,9,,,第33代,,,,,,
中邑真輔,2003,12,9,,2004,2,15,,,第34代,,,,,,
天山広吉,2004,2,15,,2004,3,12,,,第35代,,,,,,
佐々木健介,2004,3,12,,2004,3,28,,,第36代,,,,,,
ボブ・サップ,2004,3,28,,2004,6,5,,,第37代,,,,,,
藤田和之,2004,6,5,,2004,10,9,,,第38代,,,,,,
佐々木健介,2004,10,9,,2004,12,12,,,第39代,,,,,,
天山広吉,2004,12,12,,2005,2,20,,,第40代,,,,,,
小島聡,2005,2,20,,2005,5,14,,,第41代,,,,,,
天山広吉,2005,5,14,,2005,7,18,,,第42代,,,,,,
藤田和之,2005,7,18,,2005,10,8,,,第43代,,,,,,
ブロック・レスナー,2005,10,8,,2006,7,17,,,第44代,,,,,,
棚橋弘至,2006,7,17,,2007,4,13,,,第45代,,,,,,
永田裕志,2007,4,13,,2007,10,8,,,第46代,,,,,,
棚橋弘至,2007,10,8,,2008,1,4,,,第47代,,,,,,
中邑真輔,2008,1,4,,2008,4,27,,,第48代,,,,,,
武藤敬司,2008,4,27,,2009,1,4,,,第49代,,,,,,
棚橋弘至,2009,1,4,,2009,5,6,,,第50代,,,,,,
中西学,2009,5,6,,2009,6,20,,,第51代,,,,,,
棚橋弘至,2009,6,20,,2009,9,27,,,第52代,,,,,,
中邑真輔,2009,9,27,,2010,5,3,,,第53代,,,,,,
真壁刀義,2010,5,3,,2010,10,11,,,第54代,,,,,,
小島聡,2010,10,11,,2011,1,4,,,第55代,,,,,,
棚橋弘至,2011,1,4,,2012,2,12,,,第56代,,,,,,
オカダ・カズチカ,2012,2,12,,2012,6,16,,,第57代,,,,,,
棚橋弘至,2012,6,16,,2013,4,7,,,第58代,,,,,,
オカダ・カズチカ,2013,4,7,,2014,5,3,,,第59代,,,,,,
AJスタイルズ,2014,5,3,,2014,10,13,,,第60代,,,,,,
棚橋弘至,2014,10,13,,2015,2,11,,,第61代,,,,,,
AJスタイルズ,2015,2,11,,2015,7,5,,,第62代,,,,,,
オカダ・カズチカ,2015,7,5,,2016,4,10,,,第63代,,,,,,
内藤哲也,2016,4,10,,2016,6,19,,,第64代,,,,,,
オカダ・カズチカ,2016,6,19,,2018,6,9,,,第65代,,,,,,
ケニー・オメガ,2018,6,9,,2019,1,4,,,第66代,,,,,,
棚橋弘至,2019,1,4,,2019,2,11,,,第67代,,,,,,
ジェイ・ホワイト,2019,2,11,,2019,4,7,,,第68代,,,,,,
オカダ・カズチカ,2019,4,7,,2020,1,5,,,第69代,,,,,,
内藤哲也,2020,1,5,,now,,,,,第70代,,,,,,
