Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
DVD,2017,7,26,,,,,,,ドキュメント「最遊記歌劇伝-Over the Bullets-」,,,,,,
CD,2010,7,14,,,,,,,金色のコルダ ステラ・ミュージカル,,,,,,
CD,2017,6,14,,,,,,,歌謡倶楽部「艶漢」,,,,,,
CD,2018,9,26,,,,,,,歌謡倶楽部「艶漢」第二幕,,,,,,
CD,2018,12,29,,,,,,,君に降る雨,,,,,,
舞台,2020,2,16,,2019,3,1,,,浪漫活劇譚「艶漢」第四夜,シアターサンモール,https://www.clie.asia/adekan/,,,,
舞台,2020,4,15,,2020,4,26,,,ピウス企画×人狼TLPT 人狼TLPT S「タイトル未定」,萬劇場&シアターグリーン BIG TREE THEATER,,,,,
イベント,2019,11,11,,,,,,,同窓会イベント「まとまろ」vol.3,大塚ドリームシアター,https://ameblo.jp/matomaro20/,,,,
イベント,2020,1,10,,,,,,,「最遊記歌劇伝-Darkness-」 DVD発売記念イベント,,https://www.clie.asia/saiyukikagekiden/dn/,,,,
ゲスト,2019,11,15,,,,,,,タイマンvol.5 「かなわない夢ガール」,シアター風姿花伝,https://tai-man.wixsite.com/home,,,,
舞台,2019,11,6,,2019,11,10,,,SEPT presents「シンデレイル」,シアターサンモール,https://sept-ppn.com/cindereile/,,,,
舞台,2019,9,12,,2019,9,16,,,劇団ナイスコンプレックスN30フリーカル「YAhHoo!!!!」東京公演,新宿村LIVE,http://naikon.jp/past/stageguide/n30.html,,,,
舞台,2019,12,25,,2019,12,29,,,X-QUEST 2019 WINTER PERFORMANCE「三獣士 ──ヴァリアント・マスケティアーズ──」,シアターサンモール,http://www.x-quest.info/,,,,
舞台,2019,12,7,,2019,12,15,,,極上文學　第14弾「桜の森の満開の下」～孤独～,新宿FACE,https://www.gekijooo.net/14th-sakura-kodoku/,,,,
舞台,2019,10,2,,2019,10,14,,,人狼 ザ・ライブプレイングシアター ♯35:STELLA,新宿村LIVE ,,,,,
舞台,2019,8,8,,2019,8,18,,,ピウス企画「ヒューマンエラー」,中野ザ･ポケット,,,,,
舞台,2019,6,25,,2019,6,30,,,三上俊×長谷川太郎 プロデュース公演「クローバークラブ」,エビスSTARバー,,,,,
舞台,2019,4,20,,2019,4,29,,,浪漫活劇譚「艶漢」第三夜,シアターサンモール,https://www.clie.asia/adekan_3/,,,,
イベント,2019,4,4,,,,,,,浪漫活劇譚「艶漢」第三夜　公演記念イベント～春の祭～,阿佐ヶ谷ロフトA,https://www.clie.asia/adekan_3/,,,,
舞台,2019,3,28,,2019,4,7,,,人狼TLPT #33:EXAM,シアターサンモール,http://7th-castle.com/jinrou/appear.php?033,,,,
舞台,2019,6,6,,2019,6,14,,,最遊記歌劇伝－Darkness－,ヒューリックホール東京,https://www.clie.asia/saiyukikagekiden/dn/,,,,
舞台,2019,2,14,,2019,2,17,,,SINGULAR,全労済ホール/スペース・ゼロ,http://www.sustainer-singular.com,,,,
舞台,2018,11,28,,2018,12,9,,,dopeAdope step.3「スーパーノバ」,シアターグリーン BASE THEATER,,,,,
舞台,2019,3,13,,2019,3,17,,,ピウス企画「女王の戦略」,シアターグリーン BIG TREE THEATER,,,,,
ライブ,2018,12,29,,2018,12,30,,,"PATA PATA☆MAM×Tomoyuki Ogawa Produce Live  
「ミカシュン☆ライブ Vol.4 〜郷愁〜」",LANTERN,,,,,
舞台,2018,11,7,,2018,11,12,,,SEPT Vol.8「MIRRORION(ミラリオン)」,銀座博品館劇場,,,,,
舞台,2018,9,20,,2018,9,24,,,ナイスコンプレックスプロデュース#1「12人の怒れる男」,サンモールスタジオ,,,,,
舞台,2018,9,4,,2018,9,9,,,「最遊記歌劇伝 異聞」,東京ドームシティ シアターGロッソ,https://www.clie.asia/saiyukikagekiden/,,,,
舞台,2018,7,19,,2018,7,22,,,もりたろシアターvol.3「RobotHunter 2077」,エビスstarバー,http://moritaro.jugem.jp,http://img-cdn.jg.jugem.jp/239/642670/20180606_1662930.jpg?_ga=2.190747438.427466691.1530018597-387111600.1530018597,,,
